"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Todo MVC UI","0","TODO Operations","5","0","Edit TODO","0"
"0","Todo MVC UI","0","TODO Operations","3","0","New TODO","0"
"0","Todo MVC UI","0","TODO Operations","4","0","Completed TODO","0"
"0","Todo MVC UI","0","TODO Operations","4","0","Routing","0"
"0","Todo MVC UI","0","TODO POC","1","0","Delete TODO","0"
"0","Todo MVC UI","0","TODO Operations","3","0","TODO Items","0"
"0","Todo MVC UI","0","TODO POC","1","0","Add TODO","0"
"0","Todo MVC UI","0","TODO Operations","1","0","Retain TODO","0"
"0","Todo MVC UI","0","TODO Operations","1","0","TODO Counter","0"
